date,ipod,iphone,ipad,imac,macbook,apple watch,icloud,ios,osx,wwdc
2004-01-04,2926.8486165132763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-11,1710.213284731278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2270.3993158830385,0.0
2004-01-18,2700.9440626931796,0.0,0.0,922.3237965705657,0.0,0.0,0.0,0.0,1800.6293751287865,0.0
2004-01-25,833.6082833914193,0.0,0.0,0.0,0.0,0.0,0.0,808.2979184935813,833.6082833914193,0.0
2004-02-01,0.0,0.0,0.0,793.4754659615008,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-08,638.269696243259,0.0,0.0,640.4753373084918,0.0,0.0,0.0,640.4753373084918,0.0,0.0
2004-02-15,0.0,0.0,0.0,598.8811188180517,0.0,0.0,0.0,598.335775395465,0.0,0.0
2004-02-22,0.0,0.0,600.0527508926033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.4472682322834,0.0
2004-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-14,1149.7083778967133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.6818623382555,0.0
2004-03-21,1198.7836878950309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.7836878950309,0.0
2004-03-28,589.9296571264698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-11,0.0,0.0,0.0,937.1064722262249,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-18,528.5233290570114,0.0,0.0,0.0,0.0,0.0,0.0,526.7648653880772,1053.5297307761543,0.0
2004-04-25,1106.0956126443693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.7950050801029,0.0
2004-05-09,787.5227333790207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-16,1537.831113812031,0.0,0.0,0.0,0.0,0.0,0.0,515.1522853469858,515.1522853469858,0.0
2004-05-23,0.0,0.0,567.9908045663104,0.0,0.0,0.0,0.0,0.0,567.9908045663104,0.0
2004-05-30,532.504470910292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-06,0.0,0.0,0.0,584.8227294306201,0.0,0.0,0.0,584.8227294306201,0.0,0.0
2004-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.5918940669749,0.0
2004-06-20,787.1594205009266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-27,1558.902292882025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-04,1226.2051563295513,0.0,0.0,0.0,0.0,0.0,0.0,816.8128418243483,1629.3111861797404,0.0
2004-07-11,786.7105334917193,0.0,0.0,786.7105334917193,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-18,1012.094368886895,0.0,0.0,0.0,0.0,0.0,0.0,670.9929363786639,677.4274672362342,0.0
2004-07-25,1682.3485016624293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.2350572300384,543.2309148924736,0.0
2004-08-08,510.3928283133817,0.0,0.0,514.2317678476445,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-15,1054.6059822392565,526.3021546353051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-22,1161.5391753611675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.600383274583,0.0
2004-08-29,689.6544064588384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-05,457.38277920163773,0.0,0.0,456.0259648476219,0.0,0.0,0.0,0.0,912.0519296952438,0.0
2004-09-12,462.41104763174553,0.0,0.0,0.0,0.0,0.0,0.0,930.1863821476506,459.74690414733766,0.0
2004-09-19,1376.4889497400984,0.0,0.0,458.72529715102036,0.0,0.0,0.0,0.0,687.5342640160283,0.0
2004-09-26,895.1155886131316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.8978782657799,0.0
2004-10-03,1774.3332331627014,0.0,0.0,444.6227598048356,0.0,0.0,0.0,0.0,441.4779067710401,0.0
2004-10-10,545.6138691366205,0.0,0.0,1085.8672835574775,0.0,0.0,0.0,0.0,1096.6151771578136,0.0
2004-10-17,486.04497652435026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-24,1018.0876710688722,0.0,0.0,509.0438355344361,0.0,0.0,0.0,513.1916492467974,504.982032967793,0.0
2004-10-31,1436.3410215889594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-07,2319.7794405791424,0.0,0.0,993.7338923119102,0.0,0.0,0.0,663.022774133616,0.0,0.0
2004-11-14,1762.46206833539,0.0,0.0,590.6712226388388,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-21,964.4716410803206,0.0,0.0,479.32040592327553,0.0,0.0,0.0,479.32040592327553,958.6408118465511,0.0
2004-11-28,1669.3490887134747,0.0,0.0,1679.5996431712333,0.0,0.0,0.0,0.0,559.8665477237444,0.0
2004-12-05,3435.7489720557023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-12,2066.6932078681193,0.0,0.0,1034.1781039171085,0.0,0.0,0.0,0.0,1380.4706335158041,0.0
2004-12-19,6931.256610196811,0.0,0.0,920.2841128477802,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-26,3724.9651930055743,0.0,0.0,1053.7217263374444,0.0,0.0,0.0,0.0,1065.377979599592,0.0
2005-01-02,4754.496227175705,0.0,798.4538909314545,0.0,0.0,0.0,0.0,0.0,798.4538909314545,0.0
2005-01-09,4124.510174082394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.8282522757044,0.0
2005-01-16,3367.1786879615224,0.0,0.0,559.2485483772092,0.0,0.0,0.0,0.0,559.2485483772092,0.0
2005-01-23,2545.9063349220983,0.0,510.41160450237805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-30,1397.1287181703995,0.0,0.0,0.0,0.0,0.0,0.0,464.5569291267252,1393.6707873801756,0.0
2005-02-06,2260.9241591093273,0.0,0.0,0.0,0.0,0.0,0.0,411.92823960970264,0.0,0.0
2005-02-13,3850.385615719411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-20,2417.344068397312,0.0,0.0,405.18249333572516,0.0,0.0,0.0,401.597204178058,605.5532094801928,0.0
2005-02-27,1554.9341708432203,0.0,0.0,389.4631436427136,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-06,3465.316916541148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.29212834928546,0.0
2005-03-13,3083.5239719711753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-20,2118.3544067512516,0.0,0.0,0.0,0.0,0.0,0.0,704.9835814394103,0.0,0.0
2005-03-27,3369.1969737613827,0.0,0.0,335.838919311672,0.0,0.0,0.0,336.7571109616727,0.0,0.0
2005-04-03,2964.062576544777,0.0,0.0,0.0,0.0,0.0,0.0,535.3741381340835,1070.748276268167,0.0
2005-04-10,3873.399277306139,0.0,0.0,352.1272070278308,0.0,0.0,0.0,348.43688448154114,352.1272070278308,0.0
